Category,Item,Consumer Units,Single No earner,Single One earner,Two + No earner,Two + One earner,Two + Two earners,"2 + Three or
more
earners",,,,"Table 1600. Number of earners in consumer unit: Annual expenditure means, shares, standard errors, and coefficient of variation, Consumer Expenditure Survey, 2013"
Demographics,Percent Distribution of Reference person: Black or African-American,13,14,12,14,16,10,10,,,,
Demographics,"Percent Distribution of Reference person: White, Asian, and all other races",87,86,88,86,84,90,90,,,,
Demographics,Percent Distribution of Reference person: Hispanic or Latino,13,7,8,10,17,14,17,,,,
Demographics,Percent Distribution of Reference person:Not Hispanic or Latino,87,93,92,90,83,86,83,,,,
Demographics,Percent Distribution of Reference person: Elementary (1-8),7,11,2,11,8,4,9,,,,
Demographics,Percent Distribution of Reference person: High school (9-12),30,40,23,38,33,26,29,,,,
Demographics,Percent Distribution of Reference person: College,63,48,74,51,59,69,62,,,,
Demographics,Percent Distribution of At least one vehicle owned or leased,87,66,82,85,90,95,97,,,,
Demographics,Average annual expenditures Mean,"$51,100","$24,570","$36,336","$39,950","$52,594","$65,910","$77,828",,,,
Demographics,Average annual expenditures SE,519.52,710.13,588.86,"1,231.12",826.77,685.45,"2,014.47",,,,
Demographics,Average annual expenditures CV(%),1.02,2.89,1.62,3.08,1.57,1.04,2.59,,,,
Food,Food Mean,"6,602","3,087","4,096","5,697","7,229","8,278","10,516",,,,
Food,Food Share,12.9,12.6,11.3,14.3,13.7,12.6,13.5,,,,
Food,Food SE,99.66,116.04,117.13,233.93,192.91,125.99,397.82,,,,
Food,Food CV(%),1.51,3.76,2.86,4.11,2.67,1.52,3.78,,,,
Food,Food at home Mean,"3,977","2,135","2,119","3,787","4,631","4,711","6,485",,,,
Food,Food at home Share,7.8,8.7,5.8,9.5,8.8,7.1,8.3,,,,
Food,Food at home SE,63.09,63.07,90.71,155.53,128.84,94.93,272.32,,,,
Food,Food at home CV(%),1.59,2.95,4.28,4.11,2.78,2.01,4.2,,,,
Food,Cereals and bakery products Mean,544,297,282,523,645,634,893,,,,
Food,Cereals and bakery products Share,1.1,1.2,0.8,1.3,1.2,1,1.1,,,,
Food,Cereals and bakery products SE,9.95,10.68,13.08,27.08,20.09,14.32,49.52,,,,
Food,Cereals and bakery products CV(%),1.83,3.6,4.63,5.17,3.12,2.26,5.55,,,,
Food,Cereals and cereal products Mean,185,89,95,159,232,217,307,,,,
Food,Cereals and cereal products Share,0.4,0.4,0.3,0.4,0.4,0.3,0.4,,,,
Food,Cereals and cereal products SE,4.07,4.71,5.26,12.56,9.49,5.85,20.67,,,,
Food,Cereals and cereal products CV(%),2.2,5.29,5.52,7.9,4.09,2.7,6.73,,,,
Food,Bakery products Mean,359,208,187,365,413,417,586,,,,
Food,Bakery products Share,0.7,0.8,0.5,0.9,0.8,0.6,0.8,,,,
Food,Bakery products SE,6.75,9.19,9.96,18.16,12.93,11.39,35.49,,,,
Food,Bakery products CV(%),1.88,4.42,5.32,4.98,3.13,2.73,6.06,,,,
Food,"Meats, poultry, fish, and eggs Mean",856,417,407,856,"1,035",994,"1,500",,,,
Food,"Meats, poultry, fish, and eggs Share",1.7,1.7,1.1,2.1,2,1.5,1.9,,,,
Food,"Meats, poultry, fish, and eggs SE",16.16,20.45,23.77,42.73,40.47,25.16,72.47,,,,
Food,"Meats, poultry, fish, and eggs CV(%)",1.89,4.91,5.83,4.99,3.91,2.53,4.83,,,,
Food,Beef Mean,219,97,86,218,275,256,396,,,,
Food,Beef Share,0.4,0.4,0.2,0.5,0.5,0.4,0.5,,,,
Food,Beef SE,5.06,9.57,7.86,14.4,14.51,8.41,23.26,,,,
Food,Beef CV(%),2.31,9.86,9.12,6.6,5.27,3.28,5.88,,,,
Food,Pork Mean,170,82,75,186,209,193,295,,,,
Food,Pork Share,0.3,0.3,0.2,0.5,0.4,0.3,0.4,,,,
Food,Pork SE,4.72,8.11,6.29,14.56,10.01,8.5,22.19,,,,
Food,Pork CV(%),2.78,9.86,8.37,7.83,4.78,4.41,7.51,,,,
Food,Other meats Mean,119,55,58,118,135,144,219,,,,
Food,Other meats Share,0.2,0.2,0.2,0.3,0.3,0.2,0.3,,,,
Food,Other meats SE,2.59,3.84,5,7.94,7.29,4.99,15.67,,,,
Food,Other meats CV(%),2.17,6.99,8.59,6.73,5.38,3.47,7.14,,,,
Food,Poultry Mean,170,78,82,150,201,206,306,,,,
Food,Poultry Share,0.3,0.3,0.2,0.4,0.4,0.3,0.4,,,,
Food,Poultry SE,4.6,6.63,4.33,11.93,10,7.8,22.46,,,,
Food,Poultry CV(%),2.71,8.47,5.29,7.97,4.97,3.78,7.35,,,,
Food,Fish and seafood Mean,122,72,75,118,147,133,202,,,,
Food,Fish and seafood Share,0.2,0.3,0.2,0.3,0.3,0.2,0.3,,,,
Food,Fish and seafood SE,4.4,6.64,10.69,11.69,12.78,5.8,22.2,,,,
Food,Fish and seafood CV(%),3.6,9.29,14.3,9.88,8.69,4.36,10.98,,,,
Food,Eggs Mean,56,33,31,66,67,63,82,,,,
Food,Eggs Share,0.1,0.1,0.1,0.2,0.1,0.1,0.1,,,,
Food,Eggs SE,1.29,2.16,1.45,7.77,2.74,2.48,4.99,,,,
Food,Eggs CV(%),2.29,6.59,4.64,11.86,4.09,3.95,6.12,,,,
Food,Dairy products Mean,414,244,225,388,480,494,623,,,,
Food,Dairy products Share,0.8,1,0.6,1,0.9,0.7,0.8,,,,
Food,Dairy products SE,7.06,9.1,11.36,14.33,15.17,12.85,30.12,,,,
Food,Dairy products CV(%),1.71,3.72,5.06,3.7,3.16,2.6,4.83,,,,
Food,Fresh milk and cream Mean,152,83,81,139,186,177,231,,,,
Food,Fresh milk and cream Share,0.3,0.3,0.2,0.3,0.4,0.3,0.3,,,,
Food,Fresh milk and cream SE,2.98,3.68,3.62,6.54,7.99,4.88,11.09,,,,
Food,Fresh milk and cream CV(%),1.96,4.41,4.47,4.71,4.3,2.75,4.8,,,,
Food,Other dairy products Mean,262,161,144,249,294,317,392,,,,
Food,Other dairy products Share,0.5,0.7,0.4,0.6,0.6,0.5,0.5,,,,
Food,Other dairy products SE,5.78,7.75,9.68,10.31,11.36,10.81,23.07,,,,
Food,Other dairy products CV(%),2.2,4.81,6.73,4.14,3.87,3.42,5.88,,,,
Food,Fruits and vegetables Mean,751,408,427,725,868,888,"1,159",,,,
Food,Fruits and vegetables Share,1.5,1.7,1.2,1.8,1.6,1.3,1.5,,,,
Food,Fruits and vegetables SE,14.72,17.89,22.42,38.37,28.33,22.5,54.35,,,,
Food,Fruits and vegetables CV(%),1.96,4.38,5.25,5.29,3.26,2.53,4.69,,,,
Food,Fresh fruits Mean,270,153,164,259,303,322,400,,,,
Food,Fresh fruits Share,0.5,0.6,0.5,0.6,0.6,0.5,0.5,,,,
Food,Fresh fruits SE,6.11,8.2,11.76,19.76,12.86,8.63,23.91,,,,
Food,Fresh fruits CV(%),2.26,5.37,7.15,7.63,4.25,2.68,5.98,,,,
Food,Fresh vegetables Mean,236,125,134,229,276,282,348,,,,
Food,Fresh vegetables Share,0.5,0.5,0.4,0.6,0.5,0.4,0.4,,,,
Food,Fresh vegetables SE,4.66,5.76,7.49,14.14,9.54,7.44,17.99,,,,
Food,Fresh vegetables CV(%),1.98,4.61,5.6,6.16,3.46,2.64,5.17,,,,
Food,Processed fruits Mean,115,62,65,112,136,132,187,,,,
Food,Processed fruits Share,0.2,0.3,0.2,0.3,0.3,0.2,0.2,,,,
Food,Processed fruits SE,3.1,5.05,4.57,6.72,5.17,5.58,14.5,,,,
Food,Processed fruits CV(%),2.7,8.12,7.03,6,3.81,4.23,7.76,,,,
Food,Processed vegetables Mean,130,69,64,125,153,152,224,,,,
Food,Processed vegetables Share,0.3,0.3,0.2,0.3,0.3,0.2,0.3,,,,
Food,Processed vegetables SE,3.42,5.22,3.68,7.56,6.87,6.57,17.58,,,,
Food,Processed vegetables CV(%),2.64,7.6,5.76,6.07,4.49,4.31,7.85,,,,
Food,Other food at home Mean,"1,412",768,777,"1,295","1,603","1,701","2,310",,,,
Food,Other food at home Share,2.8,3.1,2.1,3.2,3,2.6,3,,,,
Food,Other food at home SE,26.14,29.11,37.53,65.11,54.65,43.54,114.86,,,,
Food,Other food at home CV(%),1.85,3.79,4.83,5.03,3.41,2.56,4.97,,,,
Food,Sugar and other sweets Mean,143,78,75,145,168,163,238,,,,
Food,Sugar and other sweets Share,0.3,0.3,0.2,0.4,0.3,0.2,0.3,,,,
Food,Sugar and other sweets SE,3.2,5.38,6.45,9,8.17,5.7,18.84,,,,
Food,Sugar and other sweets CV(%),2.24,6.86,8.55,6.19,4.86,3.49,7.93,,,,
Food,Fats and oils Mean,117,70,63,119,137,133,189,,,,
Food,Fats and oils Share,0.2,0.3,0.2,0.3,0.3,0.2,0.2,,,,
Food,Fats and oils SE,3.32,4.49,5.84,8.81,6.36,5.67,13.59,,,,
Food,Fats and oils CV(%),2.85,6.46,9.34,7.41,4.64,4.28,7.2,,,,
Food,Miscellaneous foods Mean,728,386,402,629,821,899,"1,170",,,,
Food,Miscellaneous foods Share,1.4,1.6,1.1,1.6,1.6,1.4,1.5,,,,
Food,Miscellaneous foods SE,16.37,18.04,22.18,35.43,32.96,33.39,68.18,,,,
Food,Miscellaneous foods CV(%),2.25,4.67,5.52,5.64,4.01,3.71,5.82,,,,
Food,Nonalcoholic beverages Mean,384,216,212,359,434,455,640,,,,
Food,Nonalcoholic beverages Share,0.8,0.9,0.6,0.9,0.8,0.7,0.8,,,,
Food,Nonalcoholic beverages SE,7.38,12.43,11.45,22.28,19.31,10.6,36.87,,,,
Food,Nonalcoholic beverages CV(%),1.92,5.77,5.4,6.2,4.45,2.33,5.76,,,,
Food,Food prepared by consumer unit on out-of-town trips Mean,42,18,25,43,43,51,73,,,,
Food,Food prepared by consumer unit on out-of-town trips Share,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,
Food,Food prepared by consumer unit on out-of-town trips SE,2.39,3.56,2.51,6.62,3.88,3.98,7.19,,,,
Food,Food prepared by consumer unit on out-of-town trips CV(%),5.72,19.84,9.94,15.27,8.95,7.79,9.86,,,,
Food,Food away from home Mean,"2,625",953,"1,977","1,910","2,599","3,567","4,031",,,,
Food,Food away from home Share,5.1,3.9,5.4,4.8,4.9,5.4,5.2,,,,
Food,Food away from home SE,50.93,100.76,81.67,113.55,88.73,71.95,228.83,,,,
Food,Food away from home CV(%),1.94,10.58,4.13,5.95,3.41,2.02,5.68,,,,
Food,Alcoholic beverages Mean,445,178,464,376,341,581,706,,,,
Food,Alcoholic beverages Share,0.9,0.7,1.3,0.9,0.6,0.9,0.9,,,,
Food,Alcoholic beverages SE,17.34,17.21,33.8,38.68,30.5,29.5,89.78,,,,
Food,Alcoholic beverages CV(%),3.9,9.66,7.28,10.28,8.95,5.08,12.71,,,,
Housing,Housing Mean,"17,148","9,992","13,089","13,904","18,232","21,334","22,356",,,,
Housing,Housing Share,33.6,40.7,36,34.8,34.7,32.4,28.7,,,,
Housing,Housing SE,171.13,281.03,211.9,481.87,279.94,278.68,480.51,,,,
Housing,Housing CV(%),1,2.81,1.62,3.47,1.54,1.31,2.15,,,,
Housing,Shelter Mean,"10,080","6,034","8,664","7,128","10,785","12,376","12,643",,,,
Housing,Shelter Share,19.7,24.6,23.8,17.8,20.5,18.8,16.2,,,,
Housing,Shelter SE,125.36,238.52,155.58,237.1,218.55,204.71,371.98,,,,
Housing,Shelter CV(%),1.24,3.95,1.8,3.33,2.03,1.65,2.94,,,,
Housing,Owned dwellings Mean,"6,108","2,938","3,723","4,497","6,404","8,380","8,767",,,,
Housing,Owned dwellings Share,12,12,10.2,11.3,12.2,12.7,11.3,,,,
Housing,Owned dwellings SE,89.33,169.94,139.3,203.23,229.65,200.74,309.96,,,,
Housing,Owned dwellings CV(%),1.46,5.78,3.74,4.52,3.59,2.4,3.54,,,,
Housing,Mortgage interest and charges Mean,"3,078",750,"1,951","1,258","3,300","4,721","4,596",,,,
Housing,Mortgage interest and charges Share,6,3.1,5.4,3.1,6.3,7.2,5.9,,,,
Housing,Mortgage interest and charges SE,65.4,123.15,99.43,86.05,159.22,126.9,213.98,,,,
Housing,Mortgage interest and charges CV(%),2.12,16.42,5.1,6.84,4.83,2.69,4.66,,,,
Housing,Property taxes Mean,"1,848","1,218","1,037","1,813","1,874","2,326","2,714",,,,
Housing,Property taxes Share,3.6,5,2.9,4.5,3.6,3.5,3.5,,,,
Housing,Property taxes SE,39.05,52.49,45.58,78.77,62.75,75.02,100.9,,,,
Housing,Property taxes CV(%),2.11,4.31,4.39,4.34,3.35,3.23,3.72,,,,
Housing,"Maintenance, repairs, insurance, other expenses Mean","1,182",970,734,"1,425","1,231","1,332","1,457",,,,
Housing,"Maintenance, repairs, insurance, other expenses Share",2.3,3.9,2,3.6,2.3,2,1.9,,,,
Housing,"Maintenance, repairs, insurance, other expenses SE",27.24,84.78,54.5,112.85,79.11,68.49,121.17,,,,
Housing,"Maintenance, repairs, insurance, other expenses CV(%)",2.31,8.74,7.42,7.92,6.43,5.14,8.31,,,,
Housing,Rented dwellings Mean,"3,324","2,889","4,556","1,873","3,684","3,150","2,977",,,,
Housing,Rented dwellings Share,6.5,11.8,12.5,4.7,7,4.8,3.8,,,,
Housing,Rented dwellings SE,55.26,159.71,124.6,168.26,145.58,97.5,236.48,,,,
Housing,Rented dwellings CV(%),1.66,5.53,2.73,8.98,3.95,3.09,7.94,,,,
Housing,Other lodging Mean,649,207,385,758,696,846,898,,,,
Housing,Other lodging Share,1.3,0.8,1.1,1.9,1.3,1.3,1.2,,,,
Housing,Other lodging SE,25.47,29.64,35.24,108.99,45.26,49.4,84.79,,,,
Housing,Other lodging CV(%),3.93,14.34,9.15,14.37,6.5,5.84,9.44,,,,
Housing,"Utilities, fuels, and public services Mean","3,737","2,321","2,355","3,558","4,061","4,421","5,700",,,,
Housing,"Utilities, fuels, and public services Share",7.3,9.4,6.5,8.9,7.7,6.7,7.3,,,,
Housing,"Utilities, fuels, and public services SE",28.64,51.7,54.59,55.37,49.99,42.53,144.64,,,,
Housing,"Utilities, fuels, and public services CV(%)",0.77,2.23,2.32,1.56,1.23,0.96,2.54,,,,
Housing,Natural gas Mean,393,283,242,393,404,458,603,,,,
Housing,Natural gas Share,0.8,1.2,0.7,1,0.8,0.7,0.8,,,,
Housing,Natural gas SE,11.34,15.74,11.49,20.41,14.41,15.05,27.13,,,,
Housing,Natural gas CV(%),2.89,5.56,4.74,5.2,3.56,3.28,4.5,,,,
Housing,Electricity Mean,"1,422",965,918,"1,505","1,597","1,610","1,943",,,,
Housing,Electricity Share,2.8,3.9,2.5,3.8,3,2.4,2.5,,,,
Housing,Electricity SE,18.87,26.32,26.94,36.87,30.34,27.48,47.93,,,,
Housing,Electricity CV(%),1.33,2.73,2.93,2.45,1.9,1.71,2.47,,,,
Housing,Fuel oil and other fuels Mean,142,121,79,146,138,158,260,,,,
Housing,Fuel oil and other fuels Share,0.3,0.5,0.2,0.4,0.3,0.2,0.3,,,,
Housing,Fuel oil and other fuels SE,8.65,12.35,9.06,15.85,14.08,12.86,43.9,,,,
Housing,Fuel oil and other fuels CV(%),6.07,10.23,11.48,10.88,10.21,8.15,16.88,,,,
Housing,Telephone services Mean,"1,271",626,818,984,"1,371","1,598","2,112",,,,
Housing,Telephone services Share,2.5,2.5,2.2,2.5,2.6,2.4,2.7,,,,
Housing,Telephone services SE,10.84,14.79,19.58,23.15,21.5,21.31,37.92,,,,
Housing,Telephone services CV(%),0.85,2.36,2.4,2.35,1.57,1.33,1.8,,,,
Housing,"Residential phone service, VOIP, and phone cards Mean",358,352,207,461,374,373,462,,,,
Housing,"Residential phone service, VOIP, and phone cards Share",0.7,1.4,0.6,1.2,0.7,0.6,0.6,,,,
Housing,"Residential phone service, VOIP, and phone cards SE",5.09,11.02,7.89,13.71,9.75,8.57,14.63,,,,
Housing,"Residential phone service, VOIP, and phone cards CV(%)",1.42,3.13,3.81,2.97,2.61,2.3,3.17,,,,
Housing,Cellular phone service Mean,913,274,610,523,997,"1,226","1,650",,,,
Housing,Cellular phone service Share,1.8,1.1,1.7,1.3,1.9,1.9,2.1,,,,
Housing,Cellular phone service SE,10.39,11.44,18.02,22.18,19.81,20.8,37.64,,,,
Housing,Cellular phone service CV(%),1.14,4.17,2.95,4.24,1.99,1.7,2.28,,,,
Housing,Water and other public services Mean,509,326,298,531,551,597,782,,,,
Housing,Water and other public services Share,1,1.3,0.8,1.3,1,0.9,1,,,,
Housing,Water and other public services SE,11.11,15.5,12.84,18.17,16.13,13.16,48.34,,,,
Housing,Water and other public services CV(%),2.18,4.76,4.3,3.42,2.93,2.21,6.18,,,,
Housing,Household operations Mean,"1,144",676,560,912,"1,128","1,744","1,153",,,,
Housing,Household operations Share,2.2,2.8,1.5,2.3,2.1,2.6,1.5,,,,
Housing,Household operations SE,27.43,46.39,24.93,61.53,33.94,68.3,71.72,,,,
Housing,Household operations CV(%),2.4,6.86,4.45,6.75,3.01,3.92,6.22,,,,
Housing,Personal services Mean,368,135,16,139,301,813,238,,,,
Housing,Personal services Share,0.7,0.5,a/,0.3,0.6,1.2,0.3,,,,
Housing,Personal services SE,20.16,28.12,4.45,35.47,24.24,51.46,52.5,,,,
Housing,Personal services CV(%),5.48,20.88,28.56,25.58,8.05,6.33,22.08,,,,
Housing,Other household expenses Mean,776,542,545,773,827,931,916,,,,
Housing,Other household expenses Share,1.5,2.2,1.5,1.9,1.6,1.4,1.2,,,,
Housing,Other household expenses SE,12.63,34.05,24.17,42.43,24.48,27.17,40.43,,,,
Housing,Other household expenses CV(%),1.63,6.29,4.44,5.49,2.96,2.92,4.42,,,,
Housing,Housekeeping supplies Mean,645,368,367,663,716,786,893,,,,
Housing,Housekeeping supplies Share,1.3,1.5,1,1.7,1.4,1.2,1.1,,,,
Housing,Housekeeping supplies SE,17.83,25.69,36.2,48.1,29.66,39.23,88.52,,,,
Housing,Housekeeping supplies CV(%),2.77,6.97,9.85,7.26,4.14,4.99,9.92,,,,
Housing,Laundry and cleaning supplies Mean,154,86,73,172,184,182,215,,,,
Housing,Laundry and cleaning supplies Share,0.3,0.4,0.2,0.4,0.4,0.3,0.3,,,,
Housing,Laundry and cleaning supplies SE,5.26,8.34,5.97,22.71,7.82,9.25,21.67,,,,
Housing,Laundry and cleaning supplies CV(%),3.42,9.69,8.17,13.18,4.25,5.09,10.07,,,,
Housing,Other household products Mean,350,166,203,353,390,437,501,,,,
Housing,Other household products Share,0.7,0.7,0.6,0.9,0.7,0.7,0.6,,,,
Housing,Other household products SE,14.43,13.12,34.05,26.8,23.37,33.63,66.06,,,,
Housing,Other household products CV(%),4.12,7.89,16.73,7.58,5.99,7.7,13.2,,,,
Housing,Postage and stationery Mean,140,116,91,137,142,168,177,,,,
Housing,Postage and stationery Share,0.3,0.5,0.3,0.3,0.3,0.3,0.2,,,,
Housing,Postage and stationery SE,6.32,14.07,10.3,21.84,12.94,10.06,26.18,,,,
Housing,Postage and stationery CV(%),4.5,12.14,11.34,15.97,9.13,6,14.79,,,,
Housing,Household furnishings and equipment Mean,"1,542",592,"1,142","1,643","1,543","2,007","1,967",,,,
Housing,Household furnishings and equipment Share,3,2.4,3.1,4.1,2.9,3,2.5,,,,
Housing,Household furnishings and equipment SE,42.03,45.49,56.52,247.87,74.58,62.31,119.44,,,,
Housing,Household furnishings and equipment CV(%),2.73,7.69,4.95,15.08,4.83,3.1,6.07,,,,
Housing,Household textiles Mean,97,55,70,98,96,119,140,,,,
Housing,Household textiles Share,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,
Housing,Household textiles SE,6.44,16.17,11.52,41.97,12.38,12.51,26.48,,,,
Housing,Household textiles CV(%),6.61,29.32,16.43,42.79,12.85,10.54,18.91,,,,
Housing,Furniture Mean,382,120,266,479,360,505,514,,,,
Housing,Furniture Share,0.7,0.5,0.7,1.2,0.7,0.8,0.7,,,,
Housing,Furniture SE,19.32,18.79,23.58,147.56,26.11,30.66,77.54,,,,
Housing,Furniture CV(%),5.05,15.64,8.88,30.8,7.24,6.07,15.08,,,,
Housing,Floor coverings Mean,20,5,13,43,23,22,19,,,,
Housing,Floor coverings Share,a/,a/,a/,0.1,a/,a/,a/,,,,
Housing,Floor coverings SE,2.4,0.73,2.57,21.68,4.53,3.71,3.94,,,,
Housing,Floor coverings CV(%),11.95,15.53,19.89,50.95,19.98,17.09,20.82,,,,
Housing,Major appliances Mean,214,78,127,224,260,259,312,,,,
Housing,Major appliances Share,0.4,0.3,0.4,0.6,0.5,0.4,0.4,,,,
Housing,Major appliances SE,8.34,10.37,14.23,33.19,25.47,18.97,48.98,,,,
Housing,Major appliances CV(%),3.9,13.2,11.18,14.84,9.81,7.33,15.72,,,,
Housing,"Small appliances, miscellaneous housewares Mean",100,58,62,79,105,123,184,,,,
Housing,"Small appliances, miscellaneous housewares Share",0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,
Housing,"Small appliances, miscellaneous housewares SE",5.67,5.97,6.41,8.96,14.29,8.46,34.42,,,,
Housing,"Small appliances, miscellaneous housewares CV(%)",5.64,10.24,10.4,11.29,13.55,6.91,18.7,,,,
Housing,Miscellaneous household equipment Mean,727,275,604,721,698,980,798,,,,
Housing,Miscellaneous household equipment Share,1.4,1.1,1.7,1.8,1.3,1.5,1,,,,
Housing,Miscellaneous household equipment SE,25.3,28.91,51.19,107.37,45.36,48.39,70.34,,,,
Housing,Miscellaneous household equipment CV(%),3.48,10.51,8.47,14.9,6.5,4.94,8.81,,,,
Apparel and Services,Apparel and services Mean,"1,604",586,"1,074","1,041","1,984","2,112","1,976",,,,
Apparel and Services,Apparel and services Share,3.1,2.4,3,2.6,3.8,3.2,2.5,,,,
Apparel and Services,Apparel and services SE,36.26,84.27,60.38,106,71.5,70.52,165.34,,,,
Apparel and Services,Apparel and services CV(%),2.26,14.39,5.62,10.18,3.6,3.34,8.37,,,,
Apparel and Services,Men and boys Mean,374,90,299,288,409,502,518,,,,
Apparel and Services,Men and boys Share,0.7,0.4,0.8,0.7,0.8,0.8,0.7,,,,
Apparel and Services,Men and boys SE,14.56,14.44,31.21,38.01,19.62,32.24,72.72,,,,
Apparel and Services,Men and boys CV(%),3.89,16.09,10.45,13.21,4.8,6.43,14.03,,,,
Apparel and Services,"Men, 16 and over Mean",304,80,282,237,287,410,443,,,,
Apparel and Services,"Men, 16 and over Share",0.6,0.3,0.8,0.6,0.5,0.6,0.6,,,,
Apparel and Services,"Men, 16 and over SE",14.26,13.57,30.16,31.56,17.46,32.49,71.32,,,,
Apparel and Services,"Men, 16 and over CV(%)",4.69,16.96,10.7,13.31,6.09,7.92,16.09,,,,
Apparel and Services,"Boys, 2 to 15 Mean",70,10,17,51,122,91,75,,,,
Apparel and Services,"Boys, 2 to 15 Share",0.1,a/,a/,0.1,0.2,0.1,0.1,,,,
Apparel and Services,"Boys, 2 to 15 SE",3.71,3.13,4.72,13.79,11.24,5.79,11.56,,,,
Apparel and Services,"Boys, 2 to 15 CV(%)",5.29,32.04,27.7,27.18,9.18,6.34,15.44,,,,
Apparel and Services,Women and girls Mean,636,327,383,444,787,825,723,,,,
Apparel and Services,Women and girls Share,1.2,1.3,1.1,1.1,1.5,1.3,0.9,,,,
Apparel and Services,Women and girls SE,21.12,63.04,28.72,58.28,39.84,38.96,75.16,,,,
Apparel and Services,Women and girls CV(%),3.32,19.3,7.5,13.14,5.06,4.72,10.39,,,,
Apparel and Services,"Women, 16 and over Mean",527,316,361,377,600,678,586,,,,
Apparel and Services,"Women, 16 and over Share",1,1.3,1,0.9,1.1,1,0.8,,,,
Apparel and Services,"Women, 16 and over SE",19.66,62.48,28.48,54.67,37.95,37.82,65.86,,,,
Apparel and Services,"Women, 16 and over CV(%)",3.73,19.76,7.88,14.52,6.32,5.58,11.24,,,,
Apparel and Services,"Girls, 2 to 15 Mean",109,11,22,67,187,147,137,,,,
Apparel and Services,"Girls, 2 to 15 Share",0.2,a/,0.1,0.2,0.4,0.2,0.2,,,,
Apparel and Services,"Girls, 2 to 15 SE",7.02,3.59,4.5,23.33,17.48,11.68,26.76,,,,
Apparel and Services,"Girls, 2 to 15 CV(%)",6.41,34.18,20.87,34.78,9.35,7.92,19.48,,,,
Apparel and Services,Children under 2 Mean,75,7,23,47,126,104,55,,,,
Apparel and Services,Children under 2 Share,0.1,a/,0.1,0.1,0.2,0.2,0.1,,,,
Apparel and Services,Children under 2 SE,5.16,2.58,7.72,23.17,10.83,10.34,17.42,,,,
Apparel and Services,Children under 2 CV(%),6.93,36.38,34.25,49.05,8.59,9.98,31.44,,,,
Apparel and Services,Footwear Mean,307,76,187,132,431,403,422,,,,
Apparel and Services,Footwear Share,0.6,0.3,0.5,0.3,0.8,0.6,0.5,,,,
Apparel and Services,Footwear SE,14.83,10.72,22.36,21.82,36.54,26.89,61.21,,,,
Apparel and Services,Footwear CV(%),4.83,14.11,11.97,16.57,8.48,6.67,14.51,,,,
Apparel and Services,Other apparel products and services Mean,211,86,184,130,230,278,257,,,,
Apparel and Services,Other apparel products and services Share,0.4,0.4,0.5,0.3,0.4,0.4,0.3,,,,
Apparel and Services,Other apparel products and services SE,8.97,13.74,15.85,14.07,19.05,20.1,33.74,,,,
Apparel and Services,Other apparel products and services CV(%),4.25,15.94,8.64,10.79,8.27,7.23,13.11,,,,
Transportation,Transportation Mean,"9,004","3,501","6,050","6,911","9,000","11,785","16,070",,,,
Transportation,Transportation Share,17.6,14.2,16.6,17.3,17.1,17.9,20.6,,,,
Transportation,Transportation SE,147.91,235.44,282.28,408.55,285.75,279.45,903.67,,,,
Transportation,Transportation CV(%),1.64,6.73,4.67,5.91,3.17,2.37,5.62,,,,
